,risks,returns
0,0.2645582889537746,0.09035783575409347
1,0.2645578300315801,0.09035780280294899
2,0.26455971961714647,0.09035794353999264
3,0.26455970434474685,0.09035794246501752
4,0.26455967208988873,0.09035794019670475
5,0.264559595075862,0.09035793487310469
6,0.2645592724417216,0.09035791316939022
7,0.26455543593016073,0.0903576593021437
8,0.26334953495003827,0.09027797993137424
9,0.2493975042596075,0.08932731117318927
10,0.23761210819075662,0.0884719808438837
11,0.22781596102743576,0.08770962148267279
12,0.2197235325781466,0.08703016385553963
13,0.21307566574519024,0.08642449456675277
14,0.20764385283462028,0.08588474935403097
15,0.1985582325978511,0.08489765038679856
16,0.1891685809670457,0.08381513401179445
17,0.18136083394954403,0.08284997270998587
18,0.1749106813163379,0.08198976750569086
19,0.16961244021539096,0.08122311312097769
20,0.1652828324964862,0.08053981453642481
21,0.16175976354887758,0.07993055367574539
22,0.15793505186110093,0.07919720620662643
23,0.15261796312404502,0.0780980437648674
24,0.14825828494648768,0.07711831198009769
25,0.14470195853919915,0.0762452120858915
26,0.14181339132888487,0.07546701744234216
27,0.1394761760252089,0.07477339888064324
28,0.13759178379795303,0.07415542233148789
29,0.13607609503163054,0.0736045043407196
30,0.13485418574721678,0.07311093773874912
31,0.13195633394882875,0.0718036052776743
32,0.12892695888887734,0.07032091038963237
33,0.12646580381872327,0.06899764492690451
34,0.11982994200417911,0.06510041570152772
35,0.11297921971412497,0.060873854818052374
36,0.10722603130169066,0.057106928505518406
37,0.10242607319162637,0.05374964972210314
38,0.09844669233889893,0.050757471997502066
39,0.09516724880927603,0.048090688818827415
40,0.0924790980095501,0.04571357175427434
41,0.08948921407567198,0.04282030849492089
42,0.08663189457541645,0.039834780312823455
43,0.08429323725930407,0.03717391222754399
44,0.08238828159505841,0.034802412257256686
45,0.0808431453653966,0.03268882007606178
46,0.07959450452168199,0.030805203353855226
47,0.07858873145554088,0.0291267867365678
48,0.07785415176187173,0.027768609075762955
49,0.07728872000030265,0.026603500952845232
50,0.0768365570223769,0.025564986641554058
51,0.07647550677284486,0.024639452016022724
52,0.07618749817573371,0.02381457489574146
53,0.07595794718195982,0.023079403672369672
54,0.07577511294295365,0.022424182006744738
55,0.07562956763284588,0.02184021525928787
56,0.07551377003731174,0.021319778461688157
57,0.07542164708972832,0.02085590973009515
58,0.07534839176815063,0.02044248847020156
59,0.07529015263861148,0.020074027625762436
60,0.07524385979164724,0.01974563732505049
61,0.07520706630411922,0.01945295383136575
62,0.07517783849605739,0.019192130235995843
63,0.07515460328703491,0.01895964134434396
64,0.07513614220954075,0.01875243692453656
65,0.07512147514027527,0.01856776688506119
66,0.07510982286709308,0.018403180339115234
67,0.07510056607877821,0.01825649322132606
68,0.07509321259337796,0.01812575914877883
69,0.07508737097235661,0.01800924217263007
70,0.0750827304664582,0.017905396221634635
71,0.0750790441662993,0.01781284335566575
72,0.07507611590021025,0.017730355492561703
73,0.07507378981256728,0.017656838092243082
74,0.07507194208333245,0.01759131563425839
75,0.07507047434690825,0.017532918679014416
76,0.07506930846078352,0.017480872324686404
77,0.0750683823515204,0.01743448595804767
78,0.07506764671159677,0.017393144065470593
79,0.07506706236903597,0.017356298066011383
80,0.0750665982086034,0.017323459046568145
81,0.0750662333977117,0.01729424938439391
82,0.07506594037138462,0.017268152116520857
83,0.07506570730028266,0.017244896986784258
84,0.07506552112283656,0.017224171586190523
85,0.0750653736784739,0.017205714781022258
86,0.07506525583848468,0.017189213560169107
87,0.07506516324543146,0.017174545234800255
88,0.07506508973284226,0.017161472010055752
89,0.07506503138163081,0.017149820618927072
90,0.07506498509985944,0.0171394363749181
91,0.07506494844400753,0.017130181534240865
92,0.07506491949197981,0.017121933352422174
93,0.07506489674355074,0.017114582478723245
94,0.07506487905576113,0.01710803152709533
95,0.07506486561557978,0.017102193849989775
96,0.07506485593107123,0.017096992463449284
97,0.07506485009428518,0.017092359714623195
98,0.07506484942017047,0.01708823751939044
99,0.07506485492164745,0.01708457378938245
